chw_genre_name,latitude,visit_year,visit_month,visit_weekday,city,ward,neighborhood,holiday_flg_0,holiday_flg_1,mean_visitors,median_visitors,min_visitors,max_visitors
4,38.2690761,2016,9,1,4,40,36,1,0,8.0625,6.0,2.0,19.0
7,34.3862445,2016,8,2,1,14,42,1,0,19.11864406779661,20.0,2.0,45.0
2,35.6021252,2016,7,5,7,41,70,1,0,21.147058823529413,20.5,7.0,37.0
4,35.6414629,2016,10,0,7,28,35,1,0,4.517241379310345,2.0,1.0,35.0
2,43.0744699,2016,5,4,2,39,44,1,0,21.425,21.5,6.0,58.0
4,35.6938401,2017,3,5,7,44,30,1,0,31.333333333333332,32.0,1.0,57.0
2,33.5573203,2016,8,5,0,16,50,1,0,8.26923076923077,7.5,2.0,20.0
2,34.6812614,2016,9,6,8,53,49,1,0,7.714285714285714,7.0,1.0,16.0
13,44.0206319,2016,11,4,2,0,53,1,0,25.48148148148148,24.0,4.0,56.0
8,35.6580681,2017,2,0,7,29,76,1,0,14.12,15.0,3.0,27.0
8,35.7261178,2017,1,5,7,51,54,1,0,22.77777777777778,24.0,4.0,35.0
7,35.6617773,2016,10,5,7,42,77,1,0,70.69354838709677,70.0,33.0,128.0
7,34.7202277,2016,6,1,3,25,81,1,0,16.07843137254902,17.0,1.0,29.0
4,35.7140142,2017,1,1,7,48,26,1,0,26.88235294117647,24.0,4.0,78.0
7,33.5892157,2017,3,4,0,9,9,1,0,29.885714285714286,25.0,5.0,70.0
0,35.6617773,2016,5,5,7,42,77,1,0,55.68421052631579,58.0,29.0,75.0
4,34.7053617,2016,10,1,8,53,94,1,0,10.384615384615385,7.5,1.0,46.0
7,34.7569503,2016,8,2,3,17,31,1,0,12.34375,11.5,1.0,26.0
7,35.7118769,2016,11,4,7,49,4,1,0,16.63888888888889,15.0,6.0,33.0
4,33.5892157,2016,7,4,0,9,9,1,0,4.891891891891892,4.0,1.0,14.0
6,35.6617773,2016,12,4,7,42,77,1,0,31.115384615384617,28.5,7.0,218.0
4,35.6617773,2016,7,3,7,42,77,1,0,35.21052631578947,39.0,1.0,63.0
6,35.6706505,2016,6,5,7,6,90,1,0,12.125,9.0,2.0,60.0
13,33.5892157,2016,12,0,0,9,9,1,0,16.833333333333332,15.0,2.0,42.0
4,43.7706355,2017,2,5,2,3,0,1,0,49.857142857142854,46.5,11.0,107.0
4,34.6951242,2016,9,0,3,25,46,1,0,11.075471698113208,11.0,4.0,22.0
2,35.6728535,2017,1,0,7,26,91,0,1,29.916666666666668,28.5,10.0,76.0
6,35.6995657,2016,6,4,7,46,3,1,0,26.0,27.0,1.0,38.0
2,35.6994733,2017,1,1,7,23,22,1,0,23.862068965517242,23.0,12.0,76.0
8,33.5892157,2016,12,0,0,9,9,1,0,6.75,6.0,2.0,16.0
7,33.5892157,2017,4,6,0,9,9,1,0,30.12121212121212,30.0,4.0,71.0
6,35.6580681,2016,12,6,7,29,76,1,0,4.909090909090909,4.0,2.0,11.0
7,43.0744699,2017,3,0,2,39,44,0,1,15.0,13.5,2.0,37.0
1,35.6617773,2016,3,2,7,42,77,1,0,6.178571428571429,5.5,2.0,15.0
2,35.6427447,2016,10,2,7,41,75,1,0,20.545454545454547,21.0,2.0,42.0
8,34.815149,2017,3,4,3,13,93,1,0,34.44642857142857,32.5,6.0,102.0
2,35.7043442,2017,2,5,7,49,47,1,0,18.405405405405407,19.0,8.0,39.0
1,35.7081457,2017,3,5,7,32,64,1,0,7.457142857142857,7.0,2.0,18.0
1,35.6921398,2016,1,0,7,44,68,1,0,11.368421052631579,11.0,3.0,25.0
4,35.6414629,2017,2,1,7,28,35,1,0,16.571428571428573,16.0,7.0,31.0
1,35.6706505,2016,10,5,7,6,90,1,0,11.515151515151516,10.0,5.0,21.0
2,35.6692904,2017,2,3,7,42,27,1,0,22.96551724137931,22.0,11.0,45.0
7,34.3862445,2016,11,6,1,14,42,1,0,22.81967213114754,24.0,1.0,49.0
4,34.7108955,2016,10,4,6,11,62,1,0,33.1764705882353,32.0,11.0,56.0
2,34.638969,2016,2,4,8,53,11,1,0,6.651162790697675,5.0,1.0,22.0
7,35.5612568,2017,4,6,7,54,32,1,0,51.5,32.5,14.0,675.0
7,35.6749184,2017,2,2,7,29,1,1,0,15.64516129032258,15.0,2.0,34.0
2,34.6762311,2016,11,3,8,53,78,0,1,39.81818181818182,38.0,8.0,111.0
1,35.7081457,2017,3,3,7,32,64,1,0,12.12962962962963,11.5,4.0,26.0
1,34.3862445,2016,3,1,1,14,42,1,0,11.592592592592593,9.5,1.0,29.0
11,34.6876966,2016,9,5,8,53,48,1,0,48.6,48.5,17.0,85.0
1,43.7706355,2017,1,3,2,3,0,1,0,9.804878048780488,7.0,1.0,40.0
4,34.7108955,2016,8,0,6,11,62,1,0,20.27777777777778,19.5,2.0,61.0
2,33.5869938,2016,5,3,0,9,9,1,0,13.763636363636364,11.0,2.0,50.0
6,35.6940027,2016,11,5,7,5,45,1,0,15.67741935483871,11.0,3.0,99.0
12,35.6617773,2016,10,3,7,42,77,1,0,23.672727272727272,25.0,1.0,42.0
4,33.5892157,2016,12,3,0,9,9,1,0,4.818181818181818,5.0,2.0,9.0
2,35.6995657,2016,9,6,7,46,3,1,0,35.7027027027027,35.0,10.0,61.0
1,35.6940027,2017,1,6,7,5,45,0,1,50.4,51.5,24.0,70.0
4,38.2690761,2016,12,5,4,40,36,1,0,32.25714285714286,29.0,1.0,89.0
7,35.7511648,2017,1,2,7,15,25,1,0,9.75,9.5,2.0,18.0
10,34.6951242,2016,12,1,3,25,46,1,0,16.884615384615383,12.5,3.0,41.0
11,33.5913576,2017,3,2,0,9,14,1,0,11.56,10.0,4.0,51.0
6,34.6812614,2016,9,3,8,53,49,1,0,11.327272727272728,11.0,1.0,30.0
2,33.5892157,2017,4,2,0,9,9,1,0,4.433333333333334,4.0,1.0,11.0
7,35.7118769,2016,9,4,7,49,4,1,0,16.63888888888889,15.0,6.0,33.0
4,38.2690761,2017,2,2,4,40,36,1,0,9.5625,10.5,3.0,18.0
7,33.5892157,2016,3,2,0,9,9,1,0,20.865384615384617,20.5,6.0,35.0
4,34.7012792,2016,8,1,8,53,65,1,0,15.543859649122806,16.0,1.0,28.0
7,33.5913576,2017,2,5,0,9,14,1,0,26.09090909090909,25.0,7.0,49.0
2,43.0554601,2016,3,0,2,39,53,1,0,11.894736842105264,11.0,3.0,37.0
4,35.6617773,2016,5,6,7,42,77,1,0,15.297872340425531,15.0,1.0,35.0
4,35.6092261,2016,7,2,7,43,21,1,0,11.352941176470589,10.0,2.0,22.0
1,33.5892157,2016,1,3,0,9,9,1,0,12.661016949152541,10.0,2.0,53.0
11,33.5892157,2016,11,6,0,9,9,1,0,23.675675675675677,22.0,2.0,50.0
2,35.6465721,2016,5,1,7,41,75,1,0,33.57692307692308,33.5,11.0,53.0
6,35.6617773,2016,11,5,7,42,77,1,0,14.852941176470589,15.0,4.0,26.0
7,35.6265683,2016,6,3,7,43,16,1,0,5.681818181818182,4.5,1.0,25.0
9,43.0554601,2017,2,0,2,39,53,1,0,7.777777777777778,6.0,1.0,26.0
4,35.7177841,2016,11,0,7,30,52,1,0,8.37037037037037,8.0,1.0,14.0
2,37.3718999,2017,3,1,5,18,7,1,0,27.5,27.0,14.0,40.0
4,35.6617773,2016,10,5,7,42,77,1,0,29.7027027027027,27.0,7.0,64.0
8,33.5913576,2016,9,3,0,9,14,0,1,15.033333333333333,14.0,2.0,34.0
7,35.6265683,2016,9,1,7,43,16,1,0,12.104166666666666,12.0,4.0,21.0
6,35.6938401,2016,11,6,7,44,30,1,0,54.457142857142856,53.0,28.0,84.0
1,35.6721142,2016,9,6,7,6,13,1,0,5.225806451612903,4.0,1.0,16.0
2,35.6994733,2016,4,2,7,23,22,1,0,15.94,16.0,6.0,22.0
4,35.6465721,2016,3,5,7,41,75,1,0,15.051724137931034,13.0,1.0,71.0
4,35.7177841,2016,8,4,7,30,52,1,0,9.617647058823529,9.5,2.0,22.0
4,33.5892157,2017,1,4,0,9,9,1,0,22.53846153846154,22.0,3.0,49.0
7,35.6706505,2016,2,5,7,6,90,1,0,18.779661016949152,19.0,4.0,37.0
8,35.6580681,2016,9,0,7,29,76,1,0,10.571428571428571,11.0,2.0,25.0
6,35.6580681,2017,2,5,7,29,76,1,0,8.25,6.0,3.0,23.0
6,34.6812614,2016,12,3,8,53,49,1,0,23.81081081081081,21.0,6.0,54.0
2,34.638969,2016,1,3,8,53,11,1,0,36.10909090909091,41.0,2.0,108.0
4,34.6762311,2016,10,5,8,53,78,1,0,30.220338983050848,30.0,10.0,53.0
12,35.7511648,2016,12,5,7,15,25,1,0,41.53703703703704,41.0,13.0,74.0
4,34.7053617,2017,3,3,8,53,94,1,0,10.018181818181818,7.0,1.0,32.0
7,38.2690761,2016,8,2,4,40,36,1,0,26.345454545454544,25.0,2.0,65.0
13,43.0554601,2016,10,1,2,39,53,1,0,7.054054054054054,6.0,1.0,19.0
13,34.7053617,2017,3,5,8,53,94,1,0,6.5,5.0,1.0,24.0
7,34.4858993,2016,8,3,1,10,19,1,0,8.594594594594595,8.0,2.0,32.0
4,35.6617773,2016,5,4,7,42,77,1,0,39.810344827586206,38.5,12.0,71.0
6,34.3862445,2016,12,6,1,14,42,1,0,26.12,27.0,9.0,52.0
4,35.6617773,2017,3,1,7,42,77,1,0,21.566666666666666,18.0,3.0,53.0
7,34.7053617,2017,3,3,8,53,94,1,0,32.484848484848484,31.0,10.0,80.0
2,35.6021252,2016,10,0,7,41,70,0,1,8.838709677419354,8.0,4.0,21.0
2,35.7528042,2016,10,2,7,21,96,1,0,14.090909090909092,14.0,4.0,26.0
2,34.7053617,2016,7,4,8,53,94,1,0,8.840909090909092,9.0,1.0,25.0
7,34.7997673,2016,3,1,3,50,92,1,0,21.473684210526315,20.0,4.0,45.0
7,35.6429619,2016,9,3,7,41,73,1,0,29.6,26.0,11.0,79.0
6,33.5892157,2016,7,0,0,9,9,0,1,9.518518518518519,8.0,1.0,24.0
4,34.6762311,2016,9,5,8,53,78,1,0,22.29310344827586,22.0,4.0,41.0
7,35.6940027,2017,2,2,7,5,45,1,0,32.0,33.0,2.0,61.0
7,34.815149,2016,11,3,3,13,93,0,1,9.314285714285715,7.0,1.0,31.0
2,35.6465721,2017,1,5,7,41,75,1,0,46.78431372549019,50.0,11.0,75.0
6,35.6414629,2017,3,4,7,28,35,1,0,17.8,15.0,2.0,36.0
4,35.546631,2016,2,0,7,27,59,1,0,22.949152542372882,19.0,3.0,59.0
6,35.6749184,2016,12,1,7,29,1,1,0,16.25,15.0,2.0,40.0
6,35.6938401,2016,12,3,7,44,30,1,0,25.133333333333333,23.5,11.0,65.0
6,35.6617773,2017,2,1,7,42,77,1,0,40.25714285714286,40.0,19.0,61.0
2,35.7262319,2016,3,5,7,51,17,1,0,30.089285714285715,29.0,5.0,77.0
7,35.5612568,2016,4,0,7,54,32,1,0,16.26,16.0,2.0,32.0
8,35.712607,2016,11,2,7,49,20,1,0,16.142857142857142,16.0,2.0,38.0
7,35.6956944,2016,7,5,7,5,37,1,0,37.0,34.0,16.0,95.0
7,34.3862445,2016,6,3,1,14,42,1,0,31.333333333333332,29.0,2.0,93.0
7,35.6940027,2016,11,3,7,5,45,1,0,40.592592592592595,41.0,5.0,62.0
1,33.5892157,2016,11,6,0,9,9,1,0,21.16949152542373,16.0,5.0,57.0
1,33.5892157,2016,2,0,0,9,9,1,0,9.170212765957446,7.0,1.0,39.0
6,34.7108955,2016,4,3,6,11,62,1,0,23.541666666666668,24.0,9.0,42.0
4,34.6762311,2016,3,0,8,53,78,0,1,38.74603174603175,39.0,15.0,63.0
1,35.7248234,2016,3,6,7,51,54,1,0,36.847457627118644,35.0,13.0,79.0
10,34.7053617,2016,12,4,8,53,94,1,0,31.72222222222222,31.0,13.0,111.0
1,43.0554601,2017,1,5,2,39,53,1,0,12.921052631578947,11.0,3.0,28.0
1,35.7261178,2017,1,1,7,51,54,1,0,11.266666666666667,10.5,2.0,25.0
1,43.7706355,2016,2,0,2,3,0,1,0,17.653061224489797,8.0,1.0,167.0
11,35.6465721,2016,12,6,7,41,75,1,0,9.875,7.0,1.0,35.0
7,34.7337339,2016,7,2,3,2,18,1,0,23.142857142857142,24.0,7.0,41.0
7,35.6580681,2017,3,2,7,29,76,1,0,10.793103448275861,9.0,1.0,26.0
2,35.7262319,2017,2,3,7,51,17,1,0,16.18867924528302,15.0,4.0,53.0
7,35.7356234,2016,2,2,7,33,89,1,0,8.212765957446809,7.0,2.0,17.0
8,33.8808817,2016,1,3,0,22,98,1,0,25.12962962962963,26.5,2.0,54.0
7,34.4858993,2016,1,3,1,10,19,1,0,12.30188679245283,11.0,1.0,44.0
7,35.6617773,2017,2,3,7,42,77,1,0,16.2972972972973,14.0,1.0,56.0
7,34.6793301,2016,8,1,8,12,2,1,0,11.49090909090909,10.0,3.0,31.0
2,35.6706505,2016,12,6,7,6,90,1,0,35.96774193548387,39.0,1.0,54.0
6,35.629564,2016,12,5,7,28,82,1,0,14.893617021276595,14.0,2.0,43.0
2,35.6617773,2016,11,0,7,42,77,1,0,23.764705882352942,23.0,2.0,56.0
2,34.6812614,2017,2,4,8,53,49,1,0,17.12962962962963,17.0,6.0,31.0
7,33.5913576,2016,8,0,0,9,14,0,1,13.2,12.0,2.0,42.0
4,33.5902074,2016,12,1,0,9,85,1,0,23.304347826086957,22.0,1.0,56.0
12,43.0554601,2017,3,0,2,39,53,1,0,28.97222222222222,27.5,7.0,49.0
1,35.6580681,2016,7,5,7,29,76,1,0,6.25,6.0,2.0,15.0
6,34.7053617,2016,8,2,8,53,94,1,0,23.516129032258064,22.0,6.0,51.0
7,35.6706505,2016,1,3,7,6,90,1,0,16.942307692307693,17.0,6.0,26.0
13,38.2690761,2017,2,4,4,40,36,1,0,16.97222222222222,17.0,4.0,27.0
7,34.7053617,2016,11,0,8,53,94,1,0,7.71875,7.0,1.0,18.0
2,33.5892157,2016,2,0,0,9,9,1,0,10.618181818181819,10.0,4.0,20.0
2,33.5892157,2016,8,1,0,9,9,1,0,17.77777777777778,16.5,4.0,56.0
2,33.5892157,2016,10,4,0,9,9,1,0,38.294117647058826,36.5,14.0,66.0
2,33.5819411,2016,8,4,0,9,58,1,0,50.018181818181816,52.0,20.0,72.0
2,35.6427447,2016,7,1,7,41,75,1,0,19.444444444444443,19.0,5.0,32.0
8,33.8808817,2016,12,3,0,22,98,0,1,25.12962962962963,26.5,2.0,54.0
6,35.6580681,2017,4,0,7,29,76,1,0,5.276595744680851,5.0,1.0,24.0
1,34.3862445,2016,1,6,1,14,42,1,0,17.229508196721312,16.0,3.0,35.0
10,34.3862445,2016,2,6,1,14,42,1,0,21.946428571428573,22.5,2.0,54.0
1,33.5892157,2016,8,4,0,9,9,1,0,15.745762711864407,13.0,2.0,78.0
1,34.7660929,2016,2,0,8,34,23,1,0,3.4130434782608696,3.0,1.0,10.0
7,38.2690761,2016,11,3,4,40,36,1,0,22.10909090909091,20.0,10.0,47.0
6,34.7375965,2016,11,5,3,36,71,1,0,6.490196078431373,6.0,1.0,11.0
2,35.7248234,2017,1,4,7,51,54,1,0,20.27777777777778,19.5,7.0,41.0
7,43.0744699,2016,9,2,2,39,44,1,0,13.673469387755102,11.0,1.0,57.0
2,33.5819411,2016,10,4,0,9,58,1,0,50.018181818181816,52.0,20.0,72.0
6,35.6414629,2016,12,0,7,28,35,1,0,60.0,60.0,60.0,60.0
7,33.8664649,2016,10,3,0,22,69,1,0,22.810344827586206,20.0,2.0,113.0
2,35.6580681,2017,3,3,7,29,76,1,0,44.34615384615385,43.5,27.0,82.0
2,35.6580681,2016,10,2,7,29,76,1,0,14.583333333333334,14.0,4.0,31.0
2,35.712607,2016,8,5,7,49,20,1,0,59.294117647058826,60.5,26.0,90.0
12,35.6995657,2016,6,4,7,46,3,1,0,7.277777777777778,6.0,1.0,24.0
13,34.6951242,2017,2,5,3,25,46,1,0,25.5,25.0,12.0,43.0
1,35.6617773,2016,6,3,7,42,77,1,0,7.25,6.0,2.0,21.0
8,35.6995657,2016,3,5,7,46,3,1,0,31.253968253968253,30.0,19.0,74.0
7,34.7569503,2016,2,6,3,17,31,1,0,52.6,54.0,25.0,81.0
11,34.7053617,2016,10,5,8,53,94,1,0,34.92857142857143,30.0,12.0,211.0
7,35.6617773,2016,6,1,7,42,77,1,0,26.661290322580644,25.5,4.0,64.0
1,35.7073985,2016,7,6,7,32,64,1,0,12.3125,10.5,3.0,37.0
7,34.6882414,2016,3,0,3,25,61,1,0,18.627118644067796,16.0,2.0,41.0
6,35.6721142,2016,12,1,7,6,13,1,0,11.089285714285714,9.0,1.0,39.0
2,35.6465721,2017,4,1,7,41,75,1,0,33.57692307692308,33.5,11.0,53.0
2,35.6580681,2016,2,5,7,29,76,1,0,53.59649122807018,54.0,34.0,71.0
1,35.7248234,2017,3,4,7,51,54,1,0,39.3235294117647,39.5,27.0,60.0
1,35.6593968,2017,1,0,7,42,10,1,0,11.323529411764707,11.5,3.0,27.0
1,35.7262319,2016,10,3,7,51,17,1,0,13.580645161290322,13.0,7.0,27.0
6,35.6749184,2017,3,2,7,29,1,1,0,17.28301886792453,18.0,2.0,32.0
4,35.6617773,2016,9,1,7,42,77,1,0,27.058823529411764,26.5,8.0,48.0
6,34.6951242,2016,7,6,3,25,46,1,0,22.70175438596491,22.0,4.0,65.0
4,35.6940027,2016,10,1,7,5,45,1,0,27.724137931034484,28.0,8.0,46.0
6,33.5892157,2016,6,5,0,9,9,1,0,39.689655172413794,39.0,5.0,93.0
11,35.712607,2016,8,1,7,49,20,1,0,20.6,20.0,6.0,44.0
7,34.7337339,2016,9,3,3,2,18,1,0,23.942857142857143,22.0,3.0,55.0
2,34.6951242,2017,2,3,3,25,46,1,0,19.350877192982455,15.0,2.0,58.0
6,35.6706505,2016,12,0,7,6,90,1,0,41.96296296296296,37.0,20.0,79.0
7,34.6882414,2016,12,3,3,25,61,1,0,19.31578947368421,16.5,3.0,51.0
4,34.6951242,2016,6,2,3,25,46,1,0,5.94,5.0,1.0,19.0
7,34.6923371,2017,3,1,8,53,95,1,0,10.25,8.5,2.0,26.0
7,35.6938401,2016,12,0,7,44,30,1,0,38.526315789473685,37.0,22.0,58.0
8,35.6092261,2016,12,1,7,43,21,1,0,30.51851851851852,31.5,9.0,57.0
13,43.0554601,2016,10,2,2,39,53,1,0,7.545454545454546,7.0,1.0,19.0
4,35.6617773,2016,2,1,7,42,77,1,0,8.0,6.0,1.0,42.0
2,33.5892157,2016,5,4,0,9,9,1,0,40.127272727272725,40.0,17.0,78.0
10,34.3862445,2016,11,2,1,14,42,1,0,20.344827586206897,19.0,2.0,67.0
7,33.5892157,2016,9,5,0,9,9,1,0,27.473684210526315,29.0,9.0,40.0
4,34.6951242,2016,10,3,3,25,46,1,0,7.411764705882353,7.0,1.0,23.0
2,33.5892157,2017,3,1,0,9,9,1,0,15.241379310344827,13.0,6.0,27.0
7,34.7053617,2016,12,4,8,53,94,1,0,14.333333333333334,14.0,3.0,28.0
4,35.6092261,2016,7,5,7,43,21,1,0,22.096774193548388,23.0,5.0,45.0
8,33.5892157,2016,12,3,0,9,9,1,0,9.833333333333334,10.0,2.0,23.0
6,35.6580681,2016,11,0,7,29,76,1,0,5.276595744680851,5.0,1.0,24.0
7,34.3862445,2017,1,1,1,14,42,1,0,10.771929824561404,8.0,1.0,37.0
6,33.5913576,2016,8,5,0,9,14,1,0,13.49090909090909,12.0,1.0,44.0
4,35.6465721,2016,1,1,7,41,75,1,0,8.803921568627452,6.0,1.0,37.0
2,35.6617773,2016,7,3,7,42,77,1,0,11.371428571428572,11.0,3.0,21.0
4,43.7706355,2016,8,5,2,3,0,0,1,34.22857142857143,29.0,6.0,164.0
2,35.6940027,2016,7,6,7,5,45,1,0,15.153846153846153,8.0,1.0,130.0
1,43.0554601,2016,8,2,2,39,53,1,0,12.837837837837839,13.0,1.0,30.0
4,35.6617773,2016,7,4,7,42,77,1,0,38.416666666666664,39.5,1.0,83.0
4,35.546631,2016,4,4,7,27,59,1,0,7.915254237288136,8.0,1.0,14.0
7,33.5858162,2016,11,4,0,9,24,1,0,22.694444444444443,22.0,9.0,42.0
0,35.6617773,2017,3,6,7,42,77,1,0,26.285714285714285,23.0,9.0,78.0
6,35.6580681,2016,9,2,7,29,76,1,0,53.34375,53.0,2.0,119.0
4,33.5892157,2016,11,4,0,9,9,1,0,9.12280701754386,9.0,1.0,31.0
7,35.5612568,2017,3,3,7,54,32,1,0,17.508196721311474,13.0,2.0,69.0
2,35.6706505,2016,11,5,7,6,90,1,0,16.736842105263158,16.0,1.0,30.0
2,34.7053617,2016,8,5,8,53,94,1,0,19.36842105263158,20.0,4.0,28.0
7,34.7569503,2016,5,1,3,17,31,1,0,41.45283018867924,39.0,12.0,86.0
6,35.6580681,2016,12,3,7,29,76,1,0,38.30508474576271,40.0,5.0,67.0
6,33.5892157,2016,9,5,0,9,9,1,0,9.486486486486486,11.0,1.0,19.0
2,35.6995657,2017,3,4,7,46,3,1,0,25.4375,26.0,13.0,61.0
7,34.4858993,2017,3,1,1,10,19,1,0,20.483333333333334,18.5,2.0,50.0
2,35.6921398,2016,12,6,7,44,68,1,0,8.610169491525424,8.0,3.0,18.0
2,33.5573203,2017,2,6,0,16,50,1,0,36.0,35.0,15.0,76.0
11,35.6617773,2016,9,0,7,42,77,1,0,13.912280701754385,14.0,1.0,37.0
7,34.6647437,2016,8,2,8,53,66,1,0,12.970588235294118,11.5,3.0,27.0
1,35.7073985,2016,7,5,7,32,64,1,0,11.290322580645162,10.0,1.0,41.0
4,35.6938401,2017,2,5,7,44,30,1,0,1.1176470588235294,1.0,1.0,2.0
2,35.712607,2017,3,3,7,49,20,1,0,29.8,26.0,8.0,81.0
4,35.6580681,2017,3,2,7,29,76,1,0,32.885714285714286,33.0,4.0,73.0
7,33.5913576,2016,5,0,0,9,14,1,0,36.83050847457627,37.0,8.0,67.0
4,35.6414629,2016,7,0,7,28,35,1,0,7.1875,5.0,1.0,41.0
2,35.6465721,2016,10,0,7,41,75,1,0,20.4,19.5,11.0,40.0
11,35.712607,2017,3,2,7,49,20,1,0,20.54385964912281,19.0,7.0,36.0
7,34.7569503,2016,9,5,3,17,31,1,0,25.610169491525422,26.0,8.0,61.0
13,34.6812614,2016,11,5,8,53,49,1,0,7.538461538461538,6.0,1.0,23.0
7,35.6938401,2016,12,1,7,44,30,1,0,8.5,8.0,4.0,16.0
1,35.6938401,2017,1,3,7,44,30,1,0,7.114285714285714,7.0,2.0,11.0
7,38.2690761,2016,10,4,4,40,36,1,0,22.916666666666668,23.0,10.0,37.0
8,35.6580681,2016,9,3,7,29,76,1,0,24.983050847457626,25.0,11.0,34.0
4,35.6580681,2017,3,0,7,29,76,1,0,22.96551724137931,23.0,8.0,47.0
12,35.7511648,2017,2,5,7,15,25,1,0,41.53703703703704,41.0,13.0,74.0
7,34.3862445,2016,9,1,1,14,42,1,0,12.741935483870968,12.0,4.0,23.0
2,34.4858993,2017,3,0,1,10,19,1,0,28.5,27.5,14.0,45.0
7,38.2690761,2016,8,2,4,40,36,1,0,9.350877192982455,9.0,3.0,24.0
6,35.7140142,2016,9,1,7,48,26,1,0,15.029411764705882,13.0,2.0,47.0
7,43.7706355,2016,7,5,2,3,0,1,0,56.088235294117645,52.0,30.0,101.0
7,34.6882414,2016,3,3,3,25,61,1,0,20.596491228070175,20.0,7.0,38.0
1,35.6580681,2017,2,4,7,29,76,1,0,7.7,7.5,2.0,15.0
6,34.7108955,2017,3,2,6,11,62,1,0,28.5,26.0,7.0,73.0
7,33.5892157,2016,11,0,0,9,9,1,0,19.862068965517242,19.0,3.0,42.0
3,35.6938401,2016,8,3,7,44,30,0,1,7.418181818181818,6.0,1.0,31.0
12,43.0554601,2016,8,5,2,39,53,1,0,14.75,15.0,4.0,30.0
7,35.6938401,2017,2,3,7,44,30,1,0,33.08620689655172,33.0,8.0,60.0
